SheetName,National Data Bank Version 8.2 - Supplemental Nutrition Assistance Program,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,01/15/2015
NERO,"SNAP Monthly State Participation and Benefit Summary, Fiscal Year 1989",,,,,
NERO,Fiscal Year and Month,Participation 1/,,Benefit,,
NERO,,Household,Persons,Per Household,Per Person,Cost
NERO,,----------------- Number -----------------,,------------------------------------------------------------------- Dollars -------------------------------------------------------------------,,
NERO,Connecticut,,,,,
NERO,Oct 1988,40621,108805,105.5879,39.42,4289088
NERO,Nov 1988,40988,109264,105.909,39.7295,4341000
NERO,Dec 1988,41109,109456,105.5543,39.6436,4339230
NERO,Jan 1989,42033,111600,102.5837,38.6371,4311901
NERO,Feb 1989,42598,112990,104.391,39.3561,4446846
NERO,Mar 1989,42639,113145,104.9716,39.5588,4475884
NERO,Apr 1989,43758,115559,105.0394,39.7746,4596316
NERO,May 1989,43888,115480,100.6302,38.2444,4416458
NERO,Jun 1989,43654,115283,101.0803,38.2759,4412559
NERO,Jul 1989,43782,115384,97.5934,37.0314,4272833
NERO,Aug 1989,44817,117896,96.0268,36.5036,4303634
NERO,Sep 1989,44530,117600,96.7097,36.6198,4306483
NERO,Total,42868.0833,113538.5,102.0811,38.5422,52512232
NERO,,,,,,
NERO,,,,,,
NERO,Maine,,,,,
NERO,Oct 1988,35691,80656,110.6488,48.9631,3949167
NERO,Nov 1988,35523,79715,108.4954,48.3483,3854081
NERO,Dec 1988,36521,82620,109.3418,48.333,3993273
NERO,Jan 1989,37527,85204,104.4049,45.9838,3918004
NERO,Feb 1989,38190,87143,106.3064,46.5883,4059842
NERO,Mar 1989,38831,88446,107.0716,47.0083,4157698
NERO,Apr 1989,37810,86138,106.6027,46.7929,4030647
NERO,May 1989,37962,87082,108.9418,47.4914,4135647
NERO,Jun 1989,37246,84467,106.8857,47.1316,3981065
NERO,Jul 1989,37044,84003,107.5579,47.4313,3984375
NERO,Aug 1989,37248,84185,108.5717,48.038,4044079
NERO,Sep 1989,36679,82356,106.5837,47.4693,3909383
NERO,Total,37189.3333,84334.5833,107.5964,47.4472,48017261
NERO,,,,,,
NERO,,,,,,
NERO,Massachusetts,,,,,
NERO,Oct 1988,132536,307086,95.7831,41.3392,12694704
NERO,Nov 1988,134248,310775,94.1164,40.6562,12634941
NERO,Dec 1988,134235,310443,93.9974,40.6443,12617735
NERO,Jan 1989,134952,312101,93.952,40.6247,12679005
NERO,Feb 1989,135869,313456,93.9541,40.7249,12765451
NERO,Mar 1989,137442,316444,93.6404,40.6711,12870119
NERO,Apr 1989,136394,313306,93.587,40.742,12764700
NERO,May 1989,135932,312177,94.2888,41.0564,12816860
NERO,Jun 1989,138951,319111,91.8491,39.994,12762528
NERO,Jul 1989,137767,316846,93.3486,40.5887,12860360
NERO,Aug 1989,138948,319841,94.4023,41.011,13117013
NERO,Sep 1989,139995,322345,93.8727,40.7691,13141710
NERO,Total,136439.0833,314494.25,93.8912,40.7334,153725126
NERO,,,,,,
