Series Id,Year,Period,Value
CUUR0000SA0L1E,1988,M01,4.3
CUUR0000SA0L1E,1988,M02,4.3
CUUR0000SA0L1E,1988,M03,4.4
CUUR0000SA0L1E,1988,M04,4.3
CUUR0000SA0L1E,1988,M05,4.3
CUUR0000SA0L1E,1988,M06,4.5
CUUR0000SA0L1E,1988,M07,4.5
CUUR0000SA0L1E,1988,M08,4.4
CUUR0000SA0L1E,1988,M09,4.4
CUUR0000SA0L1E,1988,M10,4.5
CUUR0000SA0L1E,1988,M11,4.4
CUUR0000SA0L1E,1988,M12,4.7
CUUS0000SA0L1E,1988,S01,4.4
CUUS0000SA0L1E,1988,S02,4.5
CUUR0000SA0L1E,1989,M01,4.6
CUUR0000SA0L1E,1989,M02,4.8
CUUR0000SA0L1E,1989,M03,4.7
CUUR0000SA0L1E,1989,M04,4.6
CUUR0000SA0L1E,1989,M05,4.6
CUUR0000SA0L1E,1989,M06,4.5
CUUR0000SA0L1E,1989,M07,4.6
CUUR0000SA0L1E,1989,M08,4.4
CUUR0000SA0L1E,1989,M09,4.3
CUUR0000SA0L1E,1989,M10,4.3
CUUR0000SA0L1E,1989,M11,4.4
CUUR0000SA0L1E,1989,M12,4.4
CUUS0000SA0L1E,1989,S01,4.6
CUUS0000SA0L1E,1989,S02,4.3
CUUR0000SA0L1E,1990,M01,4.4
CUUR0000SA0L1E,1990,M02,4.6
CUUR0000SA0L1E,1990,M03,4.9
CUUR0000SA0L1E,1990,M04,4.8
CUUR0000SA0L1E,1990,M05,4.8
CUUR0000SA0L1E,1990,M06,4.9
CUUR0000SA0L1E,1990,M07,5.0
CUUR0000SA0L1E,1990,M08,5.5
CUUR0000SA0L1E,1990,M09,5.5
CUUR0000SA0L1E,1990,M10,5.3
CUUR0000SA0L1E,1990,M11,5.3
CUUR0000SA0L1E,1990,M12,5.2
CUUS0000SA0L1E,1990,S01,4.8
CUUS0000SA0L1E,1990,S02,5.3
CUUR0000SA0L1E,1991,M01,5.6
CUUR0000SA0L1E,1991,M02,5.6
CUUR0000SA0L1E,1991,M03,5.2
CUUR0000SA0L1E,1991,M04,5.1
CUUR0000SA0L1E,1991,M05,5.1
CUUR0000SA0L1E,1991,M06,5.0
CUUR0000SA0L1E,1991,M07,4.8
CUUR0000SA0L1E,1991,M08,4.6
CUUR0000SA0L1E,1991,M09,4.5
CUUR0000SA0L1E,1991,M10,4.4
CUUR0000SA0L1E,1991,M11,4.5
CUUR0000SA0L1E,1991,M12,4.4
CUUS0000SA0L1E,1991,S01,5.3
CUUS0000SA0L1E,1991,S02,4.6
CUUR0000SA0L1E,1992,M01,3.9
CUUR0000SA0L1E,1992,M02,3.8
CUUR0000SA0L1E,1992,M03,3.9
CUUR0000SA0L1E,1992,M04,3.9
CUUR0000SA0L1E,1992,M05,3.8
CUUR0000SA0L1E,1992,M06,3.8
CUUR0000SA0L1E,1992,M07,3.7
CUUR0000SA0L1E,1992,M08,3.5
CUUR0000SA0L1E,1992,M09,3.3
CUUR0000SA0L1E,1992,M10,3.5
CUUR0000SA0L1E,1992,M11,3.4
CUUR0000SA0L1E,1992,M12,3.3
CUUS0000SA0L1E,1992,S01,3.8
CUUS0000SA0L1E,1992,S02,3.4
