date,state,households,participation,per_person,total_cost,prev_per_person,prev_total_cost,per_person_change,total_cost_change,abs_person_change,abs_total_cost_change
2019-03-01,Alabama,342619,723596,317.68,1.08842246E8,5778.28,9609262.0,-5460.6,9.9232984E7,5460.6,9.9232984E7
2019-02-01,Alabama,1663,3926,5778.28,9609262.0,609.14,2.11358623E8,5169.14,-2.01749361E8,5169.14,2.01749361E8
2019-03-01,Ohio,684163,1376068,171.14,1.17084995E8,4002.47,1.15175007E8,-3831.33,1909988.0,3831.33,1909988.0
2019-02-01,Ohio,28776,61255,4002.47,1.15175007E8,598.56,4.15294494E8,3403.91,-3.00119487E8,3403.91,3.00119487E8
2019-03-01,Indiana,263930,586395,185.97,4.9084907E7,2385.77,4.4602071E7,-2199.8,4482836.0,2199.8,4482836.0
2003-01-01,Guam,7332,24510,924.78,6780508.0,3107.38,2.2037508E7,-2182.6,-1.5257E7,2182.6,1.5257E7
2002-12-01,Guam,7092,23662,3107.38,2.2037508E7,935.67,6763923.0,2171.71,1.5273585E7,2171.71,1.5273585E7
2002-07-01,Guam,7422,24567,2759.39,2.0480256E7,894.29,6733176.0,1865.1,1.374708E7,1865.1,1.374708E7
2002-08-01,Guam,7570,25058,905.97,6858182.0,2759.39,2.0480256E7,-1853.42,-1.3622074E7,1853.42,1.3622074E7
2019-02-01,Indiana,18695,44078,2385.77,4.4602071E7,635.04,1.72002064E8,1750.73,-1.27399993E8,1750.73,1.27399993E8
2017-11-01,Virgin Islands,26741,81431,1569.32,4.1965179E7,472.46,6167007.0,1096.86,3.5798172E7,1096.86,3.5798172E7
2017-12-01,Virgin Islands,15302,31540,579.02,8860236.0,1569.32,4.1965179E7,-990.3,-3.3104943E7,990.3,3.3104943E7
2021-08-01,Minnesota,225301,441656,698.67,1.57409342E8,1644.46,3.77776726E8,-945.79,-2.20367384E8,945.79,2.20367384E8
1995-09-01,Guam,6294,16361,681.08,4286773.0,1571.93,4285076.0,-890.85,1697.0,890.85,1697.0
2019-02-01,Guam,1413,4159,473.9,669623.0,1341.06,2.0970273E7,-867.16,-2.030065E7,867.16,2.030065E7
1995-08-01,Guam,2726,16393,1571.93,4285076.0,807.93,4318436.0,764.0,-33360.0,764.0,33360.0
2021-07-01,Minnesota,229728,452449,1644.46,3.77776726E8,961.17,2.25671252E8,683.29,1.52105474E8,683.29,1.52105474E8
2019-01-01,Guam,15637,44909,1341.06,2.0970273E7,702.91,1.0987127E7,638.15,9983146.0,638.15,9983146.0
2019-02-01,New York,1526845,2690578,22.65,3.4586351E7,592.72,9.07699639E8,-570.07,-8.73113288E8,570.07,8.73113288E8
1991-02-01,Guam,3246,10747,870.79,2826560.0,1431.53,4567996.0,-560.74,-1741436.0,560.74,1741436.0
2019-02-01,Arkansas,162097,363301,31.3,5074594.0,591.36,9.5226299E7,-560.06,-9.0151705E7,560.06,9.0151705E7
2019-01-01,Hawaii,81833,158949,1149.68,9.4081562E7,601.99,4.9452636E7,547.69,4.4628926E7,547.69,4.4628926E7
2019-02-01,Hawaii,5547,7377,603.71,3348771.0,1149.68,9.4081562E7,-545.97,-9.0732791E7,545.97,9.0732791E7
2019-02-01,Virgin Islands,822,1726,302.36,248538.0,813.16,9728627.0,-510.8,-9480089.0,510.8,9480089.0
2023-08-01,Guam,21302,33260,491.17,1.0462866E7,993.69,3.8181567E7,-502.52,-2.7718701E7,502.52,2.7718701E7
2019-02-01,Missouri,21323,49363,179.74,3832390.0,643.62,2.14618571E8,-463.88,-2.10786181E8,463.88,2.10786181E8
2019-02-01,Nebraska,6000,13198,167.53,1005200.0,626.72,4.622685E7,-459.19,-4.522165E7,459.19,4.522165E7
2017-09-01,Virgin Islands,12028,25406,921.36,1.1082144E7,462.53,5829752.0,458.83,5252392.0,458.83,5252392.0
2021-09-01,Alaska,41765,90854,655.33,2.7369978E7,1112.69,4.5864137E7,-457.36,-1.8494159E7,457.36,1.8494159E7
2019-02-01,Connecticut,19891,39270,122.36,2433868.0,575.98,1.23910414E8,-453.62,-1.21476546E8,453.62,1.21476546E8
2017-10-01,Virgin Islands,13053,25156,472.46,6167007.0,921.36,1.1082144E7,-448.9,-4915137.0,448.9,4915137.0
2019-02-01,Oregon,41143,71869,103.64,4264355.0,527.97,1.86668888E8,-424.33,-1.82404533E8,424.33,1.82404533E8
2019-03-01,Maryland,333753,616315,277.5,9.2613176E7,699.32,1.1417798E7,-421.82,8.1195378E7,421.82,8.1195378E7
1994-01-01,Alaska,10415,27527,1059.69,1.103671E7,640.53,7861180.0,419.16,3175530.0,419.16,3175530.0
1994-02-01,Alaska,16370,49229,641.34,1.0498709E7,1059.69,1.103671E7,-418.35,-538001.0,418.35,538001.0
2023-02-01,Guam,31957,105276,578.42,1.8484494E7,996.12,1.2622859E7,-417.7,5861635.0,417.7,5861635.0
2018-09-01,Guam,15448,44722,1112.02,1.7178536E7,695.92,1.0944662E7,416.1,6233874.0,416.1,6233874.0
2022-07-01,Minnesota,226970,440315,1139.91,2.58725787E8,723.97,1.63963741E8,415.94,9.4762046E7,415.94,9.4762046E7
2021-05-01,Pennsylvania,958318,1778560,1002.77,9.60978268E8,587.16,5.65115997E8,415.61,3.95862271E8,415.61,3.95862271E8
2018-10-01,Guam,15624,45010,699.49,1.0928708E7,1112.02,1.7178536E7,-412.53,-6249828.0,412.53,6249828.0
2024-05-01,Kentucky,256061,555976,431.43,1.10473724E8,24.47,6919666.0,406.96,1.03554058E8,406.96,1.03554058E8
1989-10-01,South Carolina,235493,720450,761.94,1.794322E8,355.31,5.4103132E7,406.63,1.25329068E8,406.63,1.25329068E8
1992-09-01,Guam,24975,110939,1253.64,3.1309461E7,850.2,3171219.0,403.44,2.8138242E7,403.44,2.8138242E7
2022-11-01,New Jersey,403648,782900,599.42,2.41957389E8,198.53,7.9866124E7,400.89,1.62091265E8,400.89,1.62091265E8
2019-02-01,New Mexico,22378,44864,194.9,4361572.0,595.1,1.31354715E8,-400.2,-1.26993143E8,400.2,1.26993143E8
