state,year,quarter,per_person,total_cost,prev_per_person,prev_total_cost,per_person_change,total_cost_change,abs_person_change,abs_total_cost_change
Alabama,2019,2,315.0,1.07044686E8,2235.03,1.0993671E8,-1920.03,-2892024.0,1920.03,2892024.0
Alabama,2019,1,2235.03,1.0993671E8,327.64,1.14876801E8,1907.39,-4940091.0,1907.39,4940091.0
Ohio,2019,2,310.22,2.12869958E8,1590.72,2.15851499E8,-1280.5,-2981541.0,1280.5,2981541.0
Ohio,2019,1,1590.72,2.15851499E8,319.86,2.20681798E8,1270.86,-4830299.0,1270.86,4830299.0
Guam,2003,1,923.49,6535111.0,1665.36,1.1890581E7,-741.87,-5355470.0,741.87,5355470.0
Indiana,2019,2,335.52,8.5400293E7,1068.93,8.8563014E7,-733.41,-3162721.0,733.41,3162721.0
Indiana,2019,1,1068.93,8.8563014E7,338.31,8.9888778E7,730.62,-1325764.0,730.62,1325764.0
Guam,2002,3,1523.43,1.1267117E7,902.18,6835314.0,621.25,4431803.0,621.25,4431803.0
Virgin Islands,2018,1,458.26,6455225.0,873.6,1.8997474E7,-415.34,-1.2542249E7,415.34,1.2542249E7
Minnesota,2020,2,703.75,1.50266242E8,310.29,6.2363541E7,393.46,8.7902701E7,393.46,8.7902701E7
Iowa,2022,2,185.27,2.5634472E7,563.61,7.8881413E7,-378.34,-5.3246941E7,378.34,5.3246941E7
Minnesota,2023,2,306.88,7.1770372E7,667.81,1.59857882E8,-360.93,-8.808751E7,360.93,8.808751E7
Guam,2023,1,800.63,1.4182917E7,1119.44,1.4458091E7,-318.81,-275174.0,318.81,275174.0
Pennsylvania,2021,2,787.78,7.54772287E8,473.54,4.59182842E8,314.24,2.95589445E8,314.24,2.95589445E8
Alaska,2023,2,768.99,2.2185195E7,1081.27,2.1428218E7,-312.28,756977.0,312.28,756977.0
Minnesota,2021,2,1079.07,2.5127272E8,780.5,1.81039163E8,298.57,7.0233557E7,298.57,7.0233557E7
Minnesota,2021,4,728.48,1.6011323E8,1023.4,2.32338921E8,-294.92,-7.2225691E7,294.92,7.2225691E7
Pennsylvania,2021,3,506.44,4.89736761E8,787.78,7.54772287E8,-281.34,-2.65035526E8,281.34,2.65035526E8
New Mexico,2020,2,566.05,1.39310684E8,297.05,6.6148901E7,269.0,7.3161783E7,269.0,7.3161783E7
Utah,2023,2,261.29,2.0987968E7,529.5,4.1251454E7,-268.21,-2.0263486E7,268.21,2.0263486E7
North Dakota,2020,2,564.69,1.1482981E7,302.53,6960947.0,262.16,4522034.0,262.16,4522034.0
Hawaii,2023,2,753.45,6.3047237E7,1010.6,8.7603293E7,-257.15,-2.4556056E7,257.15,2.4556056E7
Virgin Islands,2017,4,873.6,1.8997474E7,621.84,7620663.0,251.76,1.1376811E7,251.76,1.1376811E7
Ohio,2020,2,594.5,4.15337369E8,356.45,2.43300728E8,238.05,1.72036641E8,238.05,1.72036641E8
Mississippi,2022,1,342.06,7.0525646E7,574.0,1.23416076E8,-231.94,-5.289043E7,231.94,5.289043E7
Maryland,2019,2,270.76,8.9766356E7,500.35,9.3722589E7,-229.59,-3956233.0,229.59,3956233.0
Alabama,2023,2,361.43,1.41332853E8,589.19,2.31772196E8,-227.76,-9.0439343E7,227.76,9.0439343E7
Virginia,2023,2,303.03,1.3282159E8,526.65,2.30359075E8,-223.62,-9.7537485E7,223.62,9.7537485E7
Delaware,2023,2,302.61,1.8043036E7,514.08,3.1365629E7,-211.47,-1.3322593E7,211.47,1.3322593E7
Guam,1995,3,1020.31,4296762.0,810.05,4348909.0,210.26,-52147.0,210.26,52147.0
Tennessee,2022,1,375.35,1.59410169E8,584.56,2.48615597E8,-209.21,-8.9205428E7,209.21,8.9205428E7
Arkansas,2021,3,325.04,5.3085447E7,533.33,8.6418139E7,-208.29,-3.3332692E7,208.29,3.3332692E7
Maryland,2019,1,500.35,9.3722589E7,297.47,1.00993647E8,202.88,-7271058.0,202.88,7271058.0
Guam,2020,2,878.61,1.4453458E7,676.72,9585952.0,201.89,4867506.0,201.89,4867506.0
Kansas,2023,2,376.04,3.5293722E7,577.31,5.3025737E7,-201.27,-1.7732015E7,201.27,1.7732015E7
Alaska,2024,2,624.65,2.2879552E7,825.02,2.5909821E7,-200.37,-3030269.0,200.37,3030269.0
Florida,2018,1,289.55,4.75104287E8,488.23,1.120295432E9,-198.68,-6.45191145E8,198.68,6.45191145E8
Wyoming,2022,4,502.0,7212775.0,303.97,4272122.0,198.03,2940653.0,198.03,2940653.0
Alaska,2023,1,1081.27,2.1428218E7,883.97,2.2154045E7,197.3,-725827.0,197.3,725827.0
Alaska,2020,2,687.31,2.6380669E7,490.37,1.737567E7,196.94,9004999.0,196.94,9004999.0
Hawaii,2019,2,583.62,4.6604979E7,780.46,4.8239237E7,-196.84,-1634258.0,196.84,1634258.0
California,2023,2,333.85,9.99115096E8,528.37,1.588637879E9,-194.52,-5.89522783E8,194.52,5.89522783E8
Tennessee,2020,2,514.29,2.23317391E8,320.12,1.31554712E8,194.17,9.1762679E7,194.17,9.1762679E7
Utah,2022,2,401.11,3.0060651E7,594.54,4.3782615E7,-193.43,-1.3721964E7,193.43,1.3721964E7
Hawaii,2020,2,762.63,7.2545164E7,571.51,4.536862E7,191.12,2.7176544E7,191.12,2.7176544E7
Vermont,2023,2,320.02,1.324357E7,511.03,2.1423117E7,-191.01,-8179547.0,191.01,8179547.0
Montana,2021,3,357.13,1.7003376E7,546.02,2.6853272E7,-188.89,-9849896.0,188.89,9849896.0
