date,state,households,participation,per_person,per_household,total_cost,inflation_rate,true_person,true_total_cost
1988-10-01,Connecticut,40621,108805,105.59,39.42,4289088,120.2,285.32,1.1589815E7
1988-11-01,Connecticut,40988,109264,105.91,39.73,4341000,120.3,285.95,1.1720338E7
1988-12-01,Connecticut,41109,109456,105.55,39.64,4339230,120.5,284.5,1.1696115E7
1989-01-01,Connecticut,42033,111600,102.58,38.64,4311901,121.1,275.13,1.1564867E7
1989-02-01,Connecticut,42598,112990,104.39,39.36,4446846,121.6,278.83,1.1877759E7
1989-03-01,Connecticut,42639,113145,104.97,39.56,4475884,122.3,278.78,1.1886893E7
1989-04-01,Connecticut,43758,115559,105.04,39.77,4596316,123.1,277.15,1.2127404E7
1989-05-01,Connecticut,43888,115480,100.63,38.24,4416458,123.8,264.01,1.1586959E7
1989-06-01,Connecticut,43654,115283,101.08,38.28,4412559,124.1,264.55,1.1548744E7
1989-07-01,Connecticut,43782,115384,97.59,37.03,4272833,124.4,254.8,1.1156078E7
1989-08-01,Connecticut,44817,117896,96.03,36.5,4303634,124.6,250.33,1.1218461E7
1989-09-01,Connecticut,44530,117600,96.71,36.62,4306483,125.0,251.29,1.1189965E7
1988-10-01,Maine,35691,80656,110.65,48.96,3949167,120.2,298.99,1.0671293E7
1988-11-01,Maine,35523,79715,108.5,48.35,3854081,120.3,292.94,1.0405698E7
1988-12-01,Maine,36521,82620,109.34,48.33,3993273,120.5,294.72,1.076361E7
1989-01-01,Maine,37527,85204,104.4,45.98,3918004,121.1,280.01,1.0508404E7
1989-02-01,Maine,38190,87143,106.31,46.59,4059842,121.6,283.96,1.0844051E7
1989-03-01,Maine,38831,88446,107.07,47.01,4157698,122.3,284.35,1.1041866E7
1989-04-01,Maine,37810,86138,106.6,46.79,4030647,123.1,281.26,1.0634883E7
1989-05-01,Maine,37962,87082,108.94,47.49,4135647,123.8,285.81,1.0850227E7
1989-06-01,Maine,37246,84467,106.89,47.13,3981065,124.1,279.76,1.0419419E7
1989-07-01,Maine,37044,84003,107.56,47.43,3984375,124.4,280.83,1.0402934E7
1989-08-01,Maine,37248,84185,108.57,48.04,4044079,124.6,283.01,1.0541869E7
1989-09-01,Maine,36679,82356,106.58,47.47,3909383,125.0,276.94,1.015814E7
1988-10-01,Massachusetts,132536,307086,95.78,41.34,12694704,120.2,258.81,3.430316E7
1988-11-01,Massachusetts,134248,310775,94.12,40.66,12634941,120.3,254.12,3.4113288E7
1988-12-01,Massachusetts,134235,310443,94.0,40.64,12617735,120.5,253.37,3.4010292E7
1989-01-01,Massachusetts,134952,312101,93.95,40.62,12679005,121.1,251.98,3.4006117E7
1989-02-01,Massachusetts,135869,313456,93.95,40.72,12765451,121.6,250.95,3.4097191E7
1989-03-01,Massachusetts,137442,316444,93.64,40.67,12870119,122.3,248.69,3.4180003E7
1989-04-01,Massachusetts,136394,313306,93.59,40.74,12764700,123.1,246.94,3.3679728E7
1989-05-01,Massachusetts,135932,312177,94.29,41.06,12816860,123.8,247.38,3.3626138E7
1989-06-01,Massachusetts,138951,319111,91.85,39.99,12762528,124.1,240.39,3.3402651E7
1989-07-01,Massachusetts,137767,316846,93.35,40.59,12860360,124.4,243.73,3.357753E7
1989-08-01,Massachusetts,138948,319841,94.4,41.01,13117013,124.6,246.08,3.4192662E7
1989-09-01,Massachusetts,139995,322345,93.87,40.77,13141710,125.0,243.91,3.4147418E7
1988-10-01,New Hampshire,9044,18851,95.04,45.6,859573,120.2,256.81,2322706.0
1988-11-01,New Hampshire,9183,19254,95.18,45.39,874033,120.3,256.98,2359816.0
1988-12-01,New Hampshire,9501,20037,97.49,46.23,926299,120.5,262.78,2496779.0
1989-01-01,New Hampshire,9918,21170,96.36,45.14,955701,121.1,258.45,2563267.0
1989-02-01,New Hampshire,10221,22066,100.51,46.55,1027265,121.6,268.47,2743879.0
1989-03-01,New Hampshire,10652,23227,102.86,47.17,1095618,122.3,273.17,2909703.0
1989-04-01,New Hampshire,10535,23016,101.41,46.42,1068405,123.1,267.57,2818992.0
1989-05-01,New Hampshire,10535,23095,101.56,46.33,1069983,123.8,266.45,2807193.0
1989-06-01,New Hampshire,10497,22602,99.0,45.98,1039151,124.1,259.11,2719712.0
1989-07-01,New Hampshire,10588,22687,97.03,45.29,1027405,124.4,253.34,2682485.0
1989-08-01,New Hampshire,10782,23222,99.93,46.4,1077409,124.6,260.49,2808527.0
1989-09-01,New Hampshire,10735,23168,99.01,45.87,1062821,125.0,257.27,2761634.0
1988-10-01,New York,651778,1494329,119.85,52.28,78118270,120.2,323.85,2.11088301E8
1988-11-01,New York,649541,1484397,120.07,52.54,77989550,120.3,324.18,2.10565289E8
1988-12-01,New York,651857,1493627,120.68,52.67,78667519,120.5,325.29,2.1204323E8
1989-01-01,New York,659846,1502222,116.98,51.38,77191353,121.1,313.75,2.0703345E8
1989-02-01,New York,636215,1438246,121.66,53.82,77404538,121.6,324.96,2.0675159E8
1989-03-01,New York,656503,1468033,118.88,53.16,78044711,122.3,315.72,2.07268361E8
1989-04-01,New York,657658,1468739,118.13,52.89,77687835,123.1,311.69,2.04979758E8
1989-05-01,New York,656260,1468158,118.08,52.78,77491383,123.8,309.79,2.03305328E8
1989-06-01,New York,659489,1463751,116.91,52.67,77101621,124.1,305.98,2.01793762E8
1989-07-01,New York,635120,1410743,120.64,54.31,76619674,124.4,314.98,2.00048785E8
1989-08-01,New York,638620,1409738,121.01,54.82,77278501,124.6,315.44,2.01445076E8
1989-09-01,New York,650229,1448317,118.37,53.14,76970150,125.0,307.57,1.9999923E8
1988-10-01,Rhode Island,24568,55993,99.3,43.57,2439607,120.2,268.32,6592216.0
1988-11-01,Rhode Island,24471,55483,100.73,44.43,2465037,120.3,271.96,6655395.0
1988-12-01,Rhode Island,24610,55830,101.16,44.59,2489636,120.5,272.67,6710653.0
1989-01-01,Rhode Island,24844,56501,118.39,52.06,2941379,121.1,317.53,7889016.0
1989-02-01,Rhode Island,24975,56738,118.56,52.19,2961093,121.6,316.68,7909235.0
1989-03-01,Rhode Island,25318,57668,119.33,52.39,3021171,122.3,316.91,8023518.0
1989-04-01,Rhode Island,25176,57408,119.48,52.4,3008134,123.1,315.25,7936977.0
1989-05-01,Rhode Island,25010,56822,116.63,51.33,2916881,123.8,305.99,7652689.0
1989-06-01,Rhode Island,25104,57123,117.02,51.43,2937789,124.1,306.27,7688911.0
1989-07-01,Rhode Island,25010,57001,99.61,43.71,2491229,124.4,260.07,6504430.0
1989-08-01,Rhode Island,25339,57680,99.16,43.56,2512512,124.6,258.48,6549469.0
1989-09-01,Rhode Island,25340,57958,95.92,41.94,2430580,125.0,249.24,6315619.0
1988-10-01,Vermont,14317,31736,95.38,43.03,1365506,120.2,257.73,3689820.0
1988-11-01,Vermont,14807,33185,97.48,43.49,1443324,120.3,263.19,3896855.0
1988-12-01,Vermont,15201,34182,97.24,43.25,1478206,120.5,262.1,3984409.0
