state,year,per_person,total_cost,prev_per_person,prev_total_cost,per_person_change,total_cost_change,abs_person_change,abs_total_cost_change
Alabama,2019,796.12,1.08229104E8,324.92,1.15542922E8,471.2,-7313818.0,471.2,7313818.0
Guam,2002,1248.48,9195692.0,841.55,5879419.0,406.93,3316273.0,406.93,3316273.0
Minnesota,2023,420.08,9.918262E7,788.68,1.79673145E8,-368.6,-8.0490525E7,368.6,8.0490525E7
Alabama,2020,447.28,1.61342204E8,796.12,1.08229104E8,-348.84,5.31131E7,348.84,5.31131E7
Minnesota,2021,902.86,2.06191008E8,573.28,1.22257144E8,329.58,8.3933864E7,329.58,8.3933864E7
Guam,2003,933.78,6650887.0,1248.48,9195692.0,-314.7,-2544805.0,314.7,2544805.0
Ohio,2019,630.18,2.13083146E8,316.6,2.2215915E8,313.58,-9076004.0,313.58,9076004.0
Minnesota,2020,573.28,1.22257144E8,278.48,5.330005E7,294.8,6.8957094E7,294.8,6.8957094E7
Guam,2021,1046.96,1.4097861E7,813.92,1.2706126E7,233.04,1391735.0,233.04,1391735.0
Mississippi,2022,340.4,7.0015527E7,548.87,1.14129425E8,-208.47,-4.4113898E7,208.47,4.4113898E7
Hawaii,2021,924.21,9.9136346E7,716.88,6.7166956E7,207.33,3.196939E7,207.33,3.196939E7
Alaska,2024,657.85,2.1765678E7,854.69,2.1131171E7,-196.84,634507.0,196.84,634507.0
Iowa,2022,356.99,4.8897989E7,549.9,7.660306E7,-192.91,-2.7705071E7,192.91,2.7705071E7
Tennessee,2022,367.46,1.5208833E8,558.77,2.44215035E8,-191.31,-9.2126705E7,191.31,9.2126705E7
Guam,2023,851.77,1.5045671E7,1039.64,1.3721506E7,-187.87,1324165.0,187.87,1324165.0
Indiana,2019,519.86,8.6155929E7,339.55,9.2036269E7,180.31,-5880340.0,180.31,5880340.0
Alaska,2021,766.11,3.1691125E7,586.45,2.2373869E7,179.66,9317256.0,179.66,9317256.0
Wisconsin,2023,354.21,1.31562846E8,528.9,1.94253604E8,-174.69,-6.2690758E7,174.69,6.2690758E7
Pennsylvania,2021,559.89,5.42298013E8,385.51,3.73661848E8,174.38,1.68636165E8,174.38,1.68636165E8
Virgin Islands,2018,443.52,6134251.0,611.11,9685030.0,-167.59,-3550779.0,167.59,3550779.0
Texas,2023,450.81,6.77467074E8,618.07,9.52016175E8,-167.26,-2.74549101E8,167.26,2.74549101E8
Virgin Islands,2021,711.48,8547620.0,545.72,6212766.0,165.76,2334854.0,165.76,2334854.0
Virginia,2023,389.11,1.68535346E8,551.64,2.27834284E8,-162.53,-5.9298938E7,162.53,5.9298938E7
Nevada,2023,348.23,9.1736748E7,507.51,1.24066145E8,-159.28,-3.2329397E7,159.28,3.2329397E7
North Carolina,2023,392.49,3.10859943E8,551.48,4.43154067E8,-158.99,-1.32294124E8,158.99,1.32294124E8
New Hampshire,2023,365.74,1.4958093E7,523.9,1.9257881E7,-158.16,-4299788.0,158.16,4299788.0
Texas,2021,617.31,9.18668558E8,462.64,7.51349363E8,154.67,1.67319195E8,154.67,1.67319195E8
Kentucky,2022,444.62,1.12144779E8,598.69,1.61907758E8,-154.07,-4.9762979E7,154.07,4.9762979E7
New Hampshire,2021,518.5,1.8690926E7,365.42,1.3892341E7,153.08,4798585.0,153.08,4798585.0
